Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Playing Time_MP
Toni Martínez,es ESP,FW,27-061,1.0,0,21.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,0.0,1.0,4.29,0.0,4.29,4.29,4.29,1.97,0.0,1.97,1.97,1.97,Matches,Alaves,
Julen Lartitegi,es ESP,FW,20-336,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves,
Santiago Mouriño,uy URU,DF,22-199,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves,
Eneko Ortiz,es ESP,MF,21-096,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves,
Jesús Owono,gq EQG,GK,23-182,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves,
Joaquín Panichelli,ar ARG,FW,21-328,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves,
Adrian Rodriguez,es ESP,GK,23-262,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves,
Squad Total,,,26.8,3.0,33,270.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,7.0,1.0,3.4,2.6,1.4,4.0,54.0,100.0,97.0,1.0,0.33,1.33,0.67,1.0,1.13,0.47,1.6,0.87,1.34,,Alaves,
Opponent Total,,,27.5,3.0,33,270.0,3.0,3.0,3.0,6.0,3.0,0.0,0.0,10.0,1.0,3.3,3.3,3.1,6.4,44.0,122.0,121.0,1.0,1.0,2.0,1.0,2.0,1.11,1.03,2.14,1.11,2.14,,Alaves,
Enzo Boyomo,cm CMR,DF,22-328,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Valladolid,3.0
Karl Jakob Hein,ee EST,GK,22-139,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Valladolid,3.0
Lucas Oliveira Rosa,br BRA,DF,24-149,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,3.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.08,0.01,0.08,Matches,Valladolid,3.0
Luis Pérez,es ESP,DF,29-208,,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,7.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,Valladolid,3.0
